creation_date,number_of_works,total_number_of_words
5/9/2010,150,596072
5/10/2010,162,775629
5/11/2010,123,493672
5/12/2010,79,339021
5/13/2010,139,1098703
5/14/2010,112,352382
5/15/2010,201,816766
5/16/2010,320,1099672
5/17/2010,330,1784433
5/18/2010,264,883879
5/19/2010,245,1027016
5/20/2010,262,660069
5/21/2010,142,817581
5/22/2010,226,737159
5/23/2010,232,894164
5/24/2010,195,1017359
5/25/2010,135,1063323
5/26/2010,139,1089977
5/27/2010,174,770974
5/28/2010,151,1352222
5/29/2010,162,690940
5/30/2010,197,598008
5/31/2010,325,626075
6/1/2010,251,903752
6/2/2010,181,672479
6/3/2010,176,982584
6/4/2010,114,510533
6/5/2010,252,790867
6/6/2010,232,916184
6/7/2010,250,1023871
6/8/2010,195,599373
6/9/2010,187,1121309
6/10/2010,237,535469
6/11/2010,220,1542855
6/12/2010,152,483834
6/13/2010,117,446670
6/14/2010,189,868235
6/15/2010,195,510886
6/16/2010,148,425190
6/17/2010,149,650848
6/18/2010,86,412545
6/19/2010,165,669842
6/20/2010,186,365295
6/21/2010,94,268719
6/22/2010,166,491808
6/23/2010,121,516247
6/24/2010,141,405522
6/25/2010,177,417807
6/26/2010,151,415370
6/27/2010,122,555784
6/28/2010,99,445911
6/29/2010,91,419765
6/30/2010,87,231432
7/1/2010,135,344898
7/2/2010,165,520705
7/3/2010,123,696081
7/4/2010,222,1003699
7/5/2010,105,384379
7/6/2010,192,635250
7/7/2010,183,464079
7/8/2010,219,701561
7/9/2010,174,906036
7/10/2010,120,585766
7/11/2010,186,300750
7/12/2010,193,1054927
7/13/2010,112,432110
7/14/2010,184,679595
7/15/2010,212,970897
7/16/2010,191,695676
7/17/2010,224,825780
7/18/2010,408,1365658
7/19/2010,179,652563
7/20/2010,186,682369
7/21/2010,247,975885
7/22/2010,261,841971
7/23/2010,136,988737
7/24/2010,278,700334
7/25/2010,334,914299
7/26/2010,129,424786
7/27/2010,141,511312
7/28/2010,91,405417
7/29/2010,112,606027
7/30/2010,136,409031
7/31/2010,151,377235
8/1/2010,162,382947
8/2/2010,151,660773
8/3/2010,214,730720
8/4/2010,125,541615
8/5/2010,127,637657
8/6/2010,150,724294
8/7/2010,159,953861
8/8/2010,112,733891
8/9/2010,222,1444492
8/10/2010,170,1133316
8/11/2010,159,306563
8/12/2010,195,452492
8/13/2010,155,586360
8/14/2010,135,332163
8/15/2010,196,451257
8/16/2010,135,576898
8/17/2010,147,616256
8/18/2010,120,464541
8/19/2010,207,847746
8/20/2010,102,464236
8/21/2010,97,415704
8/22/2010,174,867009
8/23/2010,218,811077
8/24/2010,127,509242
8/25/2010,143,509094
8/26/2010,92,772114
8/27/2010,142,492004
8/28/2010,268,1412381
8/29/2010,303,1090701
8/30/2010,253,1492954
8/31/2010,191,953587
9/1/2010,240,1850668
9/2/2010,156,403087
9/3/2010,264,1160337
9/4/2010,272,1462249
9/5/2010,262,1096492
9/6/2010,449,2040883
9/7/2010,363,1749264
9/8/2010,219,1479282
9/9/2010,212,1682026
9/10/2010,217,1148281
9/11/2010,236,890214
9/12/2010,226,987378
9/13/2010,1068,3444350
9/14/2010,396,1310479
9/15/2010,382,1809127
9/16/2010,304,1634809
9/17/2010,374,2080158
9/18/2010,471,2429450
9/19/2010,327,1440747
9/20/2010,338,1414501
9/21/2010,256,1546334
9/22/2010,354,1352812
9/23/2010,227,820334
9/24/2010,291,1140113
9/25/2010,280,1081104
9/26/2010,331,890751
9/27/2010,226,737814
9/28/2010,320,2623467
9/29/2010,264,944048
9/30/2010,217,1334202
10/1/2010,131,1123180
10/2/2010,282,1303174
10/3/2010,298,1727414
10/4/2010,209,671866
10/5/2010,312,1357001
10/6/2010,134,693859
10/7/2010,352,1024569
10/8/2010,236,1158657
10/9/2010,182,1186965
10/10/2010,339,1328773
10/11/2010,249,1800827
10/12/2010,244,1453692
10/13/2010,146,987628
10/14/2010,226,824673
10/15/2010,318,919409
10/16/2010,206,860886
10/17/2010,212,810473
10/18/2010,92,503219
10/19/2010,151,707087
10/20/2010,160,655666
10/21/2010,189,929855
10/22/2010,133,726842
10/23/2010,161,1198051
10/24/2010,227,997079
10/25/2010,202,1036519
10/26/2010,196,1488305
10/27/2010,186,815784
10/28/2010,189,1068265
10/29/2010,191,813524
10/30/2010,172,719775
10/31/2010,313,985669
11/1/2010,123,610532
11/2/2010,97,492023
11/3/2010,118,532515
11/4/2010,159,1423697
11/5/2010,134,970937
11/6/2010,120,528835
11/7/2010,240,812198
11/8/2010,181,1559067
11/9/2010,162,395480
11/10/2010,138,1057222
11/11/2010,96,422600
11/12/2010,104,437060
11/13/2010,74,561875
11/14/2010,174,766601
11/15/2010,208,990373
11/16/2010,145,569593
11/17/2010,168,1094144
11/18/2010,125,470821
11/19/2010,176,517932
11/20/2010,189,1046226
11/21/2010,132,501361
11/22/2010,136,568913
11/23/2010,129,476011
11/24/2010,130,620740
11/25/2010,184,633447
11/26/2010,276,893242
11/27/2010,189,712481
11/28/2010,152,717325
11/29/2010,112,958863
11/30/2010,176,427990
12/1/2010,111,295359
12/2/2010,94,267067
12/3/2010,197,600411
12/4/2010,177,574690
12/5/2010,155,838998
12/6/2010,90,304022
12/7/2010,171,741312
12/8/2010,144,597732
12/9/2010,144,1000800
12/10/2010,154,412045
12/11/2010,228,1014311
12/12/2010,157,474547
12/13/2010,117,618620
12/14/2010,114,543336
12/15/2010,158,872691
12/16/2010,169,747922
12/17/2010,254,888398
12/18/2010,240,671899
12/19/2010,405,1270777
12/20/2010,826,2521275
12/21/2010,647,2039004
12/22/2010,289,1062099
12/23/2010,363,1019557
12/24/2010,452,915546
12/25/2010,522,1053799
12/26/2010,320,584261
12/27/2010,188,953734
12/28/2010,277,724500
12/29/2010,266,911189
12/30/2010,286,958351
12/31/2010,350,1713398
1/1/2011,337,934982
1/2/2011,398,1561957
1/3/2011,405,1361222
1/4/2011,266,1261746
1/5/2011,268,1359084
1/6/2011,332,902160
1/7/2011,473,1492530
1/8/2011,388,1540299
1/9/2011,357,1266328
1/10/2011,357,1613821
1/11/2011,270,920947
1/12/2011,256,1073496
1/13/2011,337,1407496
1/14/2011,231,952194
1/15/2011,216,1113201
1/16/2011,337,1310995
1/17/2011,306,1434204
1/18/2011,250,726367
1/19/2011,203,792052
1/20/2011,215,759023
1/21/2011,272,1264672
1/22/2011,317,1645352
1/23/2011,380,1609533
1/24/2011,270,1281859
1/25/2011,246,1225837
1/26/2011,315,1229057
1/27/2011,326,1452362
1/28/2011,326,1081030
1/29/2011,465,1730178
1/30/2011,260,880283
1/31/2011,225,722599
2/1/2011,200,1029401
2/2/2011,299,1074623
2/3/2011,331,918666
2/4/2011,472,1556228
2/5/2011,271,1109053
2/6/2011,290,1031794
2/7/2011,205,1334644
2/8/2011,239,1137204
2/9/2011,289,1240414
2/10/2011,140,594431
2/11/2011,224,876090
2/12/2011,245,1227781
2/13/2011,275,1638908
2/14/2011,255,1221783
2/15/2011,245,1061167
2/16/2011,260,1390528
2/17/2011,163,1064583
2/18/2011,193,985757
2/19/2011,234,1119872
2/20/2011,335,1207991
2/21/2011,365,1232384
2/22/2011,176,641663
2/23/2011,203,1211362
2/24/2011,221,796674
2/25/2011,215,1269641
2/26/2011,190,928601
