creation_date,number_of_works,total_number_of_words
10/16/2017,2158,16234126
10/17/2017,1982,13698509
10/18/2017,2438,18673474
10/19/2017,3648,25183427
10/20/2017,1949,15525112
10/21/2017,2729,17117029
10/22/2017,2348,18012362
10/23/2017,2200,16027071
10/24/2017,2317,20865453
10/25/2017,2190,16477520
10/26/2017,2099,15628965
10/27/2017,1880,13449404
10/28/2017,1965,15103116
10/29/2017,2304,16805725
10/30/2017,2214,17157089
10/31/2017,2786,22503834
11/1/2017,2295,18490680
11/2/2017,1994,15256563
11/3/2017,1921,13344350
11/4/2017,1973,13606699
11/5/2017,2293,17794529
11/6/2017,2036,15660120
11/7/2017,2006,16016632
11/8/2017,1681,14180074
11/9/2017,1702,12004410
11/10/2017,1601,12917315
11/11/2017,1894,15737549
11/12/2017,2285,16979330
11/13/2017,1931,16708951
11/14/2017,3686,25756716
11/15/2017,2169,16220467
11/16/2017,1609,12523871
11/17/2017,1613,12004207
11/18/2017,1734,13680704
11/19/2017,2021,16209606
11/20/2017,1823,13969356
11/21/2017,1784,13544173
11/22/2017,2856,22095925
11/23/2017,1628,13113106
11/24/2017,1630,14026189
11/25/2017,2130,18515811
11/26/2017,2323,17739002
11/27/2017,2207,18611412
11/28/2017,2079,16525585
11/29/2017,1796,15785087
11/30/2017,1782,15902750
12/1/2017,2079,20693490
12/2/2017,2213,17834168
12/3/2017,2470,18355162
12/4/2017,2193,17100800
12/5/2017,1961,15670735
12/6/2017,1983,17828988
12/7/2017,1930,13578135
12/8/2017,1846,15385156
12/9/2017,2044,13963624
12/10/2017,2325,18579036
12/11/2017,2178,16139709
12/12/2017,1946,14900497
12/13/2017,2037,13561180
12/14/2017,2071,14007040
12/15/2017,2107,14598898
12/16/2017,2197,15386050
12/17/2017,2945,18453867
12/18/2017,2926,20395300
12/19/2017,2297,18361537
12/20/2017,2440,17816075
12/21/2017,2499,19180022
12/22/2017,2531,15745756
12/23/2017,2802,18208581
12/24/2017,3453,21742863
12/25/2017,3633,21760914
12/26/2017,2886,20595575
12/27/2017,2493,20243024
12/28/2017,2465,18346877
12/29/2017,2549,18082428
12/30/2017,2546,18219365
12/31/2017,2992,19076655
1/1/2018,3045,28764533
1/2/2018,2664,24127067
1/3/2018,2379,19894638
1/4/2018,2319,17306295
1/5/2018,2235,16085561
1/6/2018,2388,21670000
1/7/2018,2603,21339113
1/8/2018,3077,22355730
1/9/2018,2052,15756108
1/10/2018,1937,14351915
1/11/2018,1963,15946448
1/12/2018,1916,16511656
1/13/2018,2122,16712987
1/14/2018,2363,19988232
1/15/2018,2269,18623696
1/16/2018,1976,16570082
1/17/2018,2091,16503820
1/18/2018,1911,13897768
1/19/2018,1845,14174595
1/20/2018,2119,18931591
1/21/2018,2346,18986584
1/22/2018,2205,19066720
1/23/2018,2035,17573703
1/24/2018,1867,14665966
1/25/2018,1966,14785714
1/26/2018,1997,16208327
1/27/2018,2300,16455767
1/28/2018,2576,20497697
1/29/2018,2288,18372748
1/30/2018,2072,15435783
1/31/2018,1974,14190751
2/1/2018,2143,17171089
2/2/2018,1919,17719996
2/3/2018,2163,16977508
2/4/2018,2651,21592176
2/5/2018,2362,19347919
2/6/2018,2030,15929564
2/7/2018,2105,14784965
2/8/2018,2120,17465605
2/9/2018,2159,17447716
2/10/2018,2240,18480918
2/11/2018,2849,25251880
2/12/2018,2518,20971915
